Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsNegativeInfinityFails(value Double) : void,"core/src/test/java/com/google/common/truth/IntegerSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<DefaultSubject,Object>, failureMessage String) : void","[BlameRes(sha1='372ffe7e8d7e5fb6e8b5e4a757776e00f2dd7942', oline='171', file_name='core/src/test/java/com/google/common/truth/DoubleTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsNaNFails(value Double) : void,"core/src/test/java/com/google/common/truth/IntegerSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<DefaultSubject,Object>, failureMessage String) : void","[BlameRes(sha1='372ffe7e8d7e5fb6e8b5e4a757776e00f2dd7942', oline='190', file_name='core/src/test/java/com/google/common/truth/DoubleTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsFiniteFails(value Double) : void,"core/src/test/java/com/google/common/truth/IntegerSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<DefaultSubject,Object>, failureMessage String) : void","[BlameRes(sha1='24ee3f4c518533c1f8be80759d8a65143f1747fe', oline='263', file_name='core/src/test/java/com/google/common/truth/DoubleTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsNotNaNFails(value Double) : void,"core/src/test/java/com/google/common/truth/IntegerSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<DefaultSubject,Object>, failureMessage String) : void","[BlameRes(sha1='24ee3f4c518533c1f8be80759d8a65143f1747fe', oline='284', file_name='core/src/test/java/com/google/common/truth/DoubleTest.java')]"
truth,2,"('10b58cd64b0d196d99f2bdfa977f68de9c52cf41', '72f486dbcd9b6e6fad714aca908b892e7c61080f')",Extract Class,core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java@org.truth0.subjects.ObjectArraySubjectTest,core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java@org.truth0.subjects.ObjectArraySubjectTest,"[BlameRes(sha1='2f7bbb3d86471b3c3133e58dc5191c7c4227150b', oline='15', file_name='core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java')]"
truth,2,"('10b58cd64b0d196d99f2bdfa977f68de9c52cf41', '72f486dbcd9b6e6fad714aca908b892e7c61080f')",Move Method,core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java@public compressType_JavaLang() : void,core/src/test/java/org/truth0/subjects/AbstractArraySubjectTest.java@public compressType_JavaLang() : void,"[BlameRes(sha1='2f7bbb3d86471b3c3133e58dc5191c7c4227150b', oline='124', file_name='core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java')]"
truth,2,"('10b58cd64b0d196d99f2bdfa977f68de9c52cf41', '72f486dbcd9b6e6fad714aca908b892e7c61080f')",Move Method,core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java@public compressType_JavaUtil() : void,core/src/test/java/org/truth0/subjects/AbstractArraySubjectTest.java@public compressType_JavaUtil() : void,"[BlameRes(sha1='2f7bbb3d86471b3c3133e58dc5191c7c4227150b', oline='128', file_name='core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java')]"
truth,2,"('10b58cd64b0d196d99f2bdfa977f68de9c52cf41', '72f486dbcd9b6e6fad714aca908b892e7c61080f')",Move Method,core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java@public compressType_Generic() : void,core/src/test/java/org/truth0/subjects/AbstractArraySubjectTest.java@public compressType_Generic() : void,"[BlameRes(sha1='2f7bbb3d86471b3c3133e58dc5191c7c4227150b', oline='132', file_name='core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java')]"
truth,2,"('10b58cd64b0d196d99f2bdfa977f68de9c52cf41', '72f486dbcd9b6e6fad714aca908b892e7c61080f')",Move Method,core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java@public compressType_Uncompressed() : void,core/src/test/java/org/truth0/subjects/AbstractArraySubjectTest.java@public compressType_Uncompressed() : void,"[BlameRes(sha1='2f7bbb3d86471b3c3133e58dc5191c7c4227150b', oline='137', file_name='core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java')]"
truth,2,"('10b58cd64b0d196d99f2bdfa977f68de9c52cf41', '72f486dbcd9b6e6fad714aca908b892e7c61080f')",Move Method,core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java@public compressType_GenericWithPartialUncompress() : void,core/src/test/java/org/truth0/subjects/AbstractArraySubjectTest.java@public compressType_GenericWithPartialUncompress() : void,"[BlameRes(sha1='2f7bbb3d86471b3c3133e58dc5191c7c4227150b', oline='142', file_name='core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java')]"
truth,2,"('10b58cd64b0d196d99f2bdfa977f68de9c52cf41', '72f486dbcd9b6e6fad714aca908b892e7c61080f')",Move Method,core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java@public compressType_Primitive() : void,core/src/test/java/org/truth0/subjects/AbstractArraySubjectTest.java@public compressType_Primitive() : void,"[BlameRes(sha1='2f7bbb3d86471b3c3133e58dc5191c7c4227150b', oline='147', file_name='core/src/test/java/org/truth0/subjects/ObjectArraySubjectTest.java')]"
truth,2,"('6156d91e07f55ef19f2ee5e8a1b9a7b0473eaa71', '10d3908e105dba7dfb7af6c27f48f6019478c2de')",Inline Method,core/src/main/java/com/google/common/truth/Correspondence.java@private firstExceptionFact() : Fact,core/src/main/java/com/google/common/truth/Correspondence.java@package describeAsAdditionalInfo() : Facts,"[BlameRes(sha1='111b5b1db171b44703cb95dd768d400862741cb3', oline='93', file_name='core/src/main/java/com/google/common/truth/Correspondence.java')]"
truth,2,"('e53a6058b64f7710ba057b93442fc2d236aa3560', '111b5b1db171b44703cb95dd768d400862741cb3')",Extract And Move Method,"core/src/main/java/com/google/common/truth/IterableSubject.java@private failIfCandidateMappingHasMissingOrExtra(actual List<? extends A>, expected List<? extends E>, mapping ImmutableSetMultimap<Integer,Integer>, compareExceptions Correspondence.ExceptionStore) : boolean",core/src/main/java/com/google/common/truth/Subject.java@package failWithoutActual(facts Facts) : void,"[BlameRes(sha1='896c26a6683479a68b764e567448e2fa51215f9c', oline='447', file_name='core/src/main/java/com/google/common/truth/IterableSubject.java')]"
truth,2,"('e53a6058b64f7710ba057b93442fc2d236aa3560', '111b5b1db171b44703cb95dd768d400862741cb3')",Extract And Move Method,"core/src/main/java/com/google/common/truth/IterableSubject.java@private failIfCandidateMappingHasMissing(actual List<? extends A>, expected List<? extends E>, mapping ImmutableSetMultimap<Integer,Integer>, compareExceptions Correspondence.ExceptionStore) : boolean",core/src/main/java/com/google/common/truth/Subject.java@package failWithoutActual(facts Facts) : void,"[BlameRes(sha1='81a24bf8f962314573e7f040b17d43a483d11862', oline='586', file_name='core/src/main/java/com/google/common/truth/IterableSubject.java')]"
truth,2,"('22eb447274d626866a81c02223db806a92e6baa0', 'cf191f92cdef0df79766bb99834fd7887decf027')",Parameterize Attribute,extensions/proto/src/main/java/com/google/common/truth/extensions/proto/ProtoTruthMessageDifferencer.java@config : FluentEqualityConfig,extensions/proto/src/main/java/com/google/common/truth/extensions/proto/ProtoTruthMessageDifferencer.java@mapConfig : FluentEqualityConfig,"[BlameRes(sha1='85bfc78485ddf728e2875f53529d6fc9f40d3be8', oline='135', file_name='extensions/proto/src/main/java/com/google/common/truth/extensions/proto/ProtoTruthMessageDifferencer.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/BooleanSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='60763ab7674758ad6aae53b231870fdca04876ce', oline='12', file_name='core/src/test/java/com/google/common/truth/BooleanSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/ComparableSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='60763ab7674758ad6aae53b231870fdca04876ce', oline='19', file_name='core/src/test/java/com/google/common/truth/ComparableSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/CorrespondenceTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='60763ab7674758ad6aae53b231870fdca04876ce', oline='15', file_name='core/src/test/java/com/google/common/truth/CorrespondenceTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/GuavaOptionalSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='3cac1033de32bdfcaba6f7761d55121cd1f9e118', oline='14', file_name='core/src/test/java/com/google/common/truth/GuavaOptionalSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/IntegerSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='07d89f608226af3a55d6bd943359f6abd17559fc', oline='17', file_name='core/src/test/java/com/google/common/truth/IntegerSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/IterableSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='6bc59b6bc631375f63f0ad4b2cd5d5a7215a95e0', oline='24', file_name='core/src/test/java/com/google/common/truth/IterableSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/LongSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='78e6add7b3e67306b6d2fd12d5668f560ed0d36a', oline='15', file_name='core/src/test/java/com/google/common/truth/LongSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/MapSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='9a09931be33f73c5244a2ea717a62c75fdf270dd', oline='18', file_name='core/src/test/java/com/google/common/truth/MapSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/MultimapSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='777a5f79bd9b6a31a66341e67093256b90689e71', oline='24', file_name='core/src/test/java/com/google/common/truth/MultimapSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/MultisetSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='78e6add7b3e67306b6d2fd12d5668f560ed0d36a', oline='16', file_name='core/src/test/java/com/google/common/truth/MultisetSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/PrimitiveCharArraySubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='c9e4e8db25ba111b1b397e8ad91a07756cc8cb5b', oline='12', file_name='core/src/test/java/com/google/common/truth/PrimitiveCharArraySubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/PrimitiveLongArraySubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='c9e4e8db25ba111b1b397e8ad91a07756cc8cb5b', oline='12', file_name='core/src/test/java/com/google/common/truth/PrimitiveLongArraySubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/RelabeledSubjectsTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='23ec6dfe6d427017692be752354c8894a1c1aa6f', oline='13', file_name='core/src/test/java/com/google/common/truth/RelabeledSubjectsTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/SortedMapSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='23ec6dfe6d427017692be752354c8894a1c1aa6f', oline='19', file_name='core/src/test/java/com/google/common/truth/SortedMapSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/SortedSetSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='23ec6dfe6d427017692be752354c8894a1c1aa6f', oline='19', file_name='core/src/test/java/com/google/common/truth/SortedSetSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/StackTraceCleanerTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='d6016e60f2c75674c72bf2ae5c7d56dfdf51f217', oline='12', file_name='core/src/test/java/com/google/common/truth/StackTraceCleanerTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/StringSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='23ec6dfe6d427017692be752354c8894a1c1aa6f', oline='15', file_name='core/src/test/java/com/google/common/truth/StringSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/TableSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='23ec6dfe6d427017692be752354c8894a1c1aa6f', oline='16', file_name='core/src/test/java/com/google/common/truth/TableSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Change Attribute Access Modifier,core/src/test/java/com/google/common/truth/ThrowableSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='e11b81947b915c3bece07bad1825e6984cb6b342', oline='13', file_name='core/src/test/java/com/google/common/truth/ThrowableSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Pull Up Attribute,core/src/test/java/com/google/common/truth/BooleanSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='60763ab7674758ad6aae53b231870fdca04876ce', oline='12', file_name='core/src/test/java/com/google/common/truth/BooleanSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Remove Attribute Annotation,core/src/test/java/com/google/common/truth/BooleanSubjectTest.java@@Rule,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='60763ab7674758ad6aae53b231870fdca04876ce', oline='12', file_name='core/src/test/java/com/google/common/truth/BooleanSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Pull Up Attribute,core/src/test/java/com/google/common/truth/ComparableSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='60763ab7674758ad6aae53b231870fdca04876ce', oline='19', file_name='core/src/test/java/com/google/common/truth/ComparableSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Remove Attribute Annotation,core/src/test/java/com/google/common/truth/ComparableSubjectTest.java@@Rule,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='60763ab7674758ad6aae53b231870fdca04876ce', oline='19', file_name='core/src/test/java/com/google/common/truth/ComparableSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Pull Up Attribute,core/src/test/java/com/google/common/truth/CorrespondenceTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='60763ab7674758ad6aae53b231870fdca04876ce', oline='15', file_name='core/src/test/java/com/google/common/truth/CorrespondenceTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Remove Attribute Annotation,core/src/test/java/com/google/common/truth/CorrespondenceTest.java@@Rule,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='60763ab7674758ad6aae53b231870fdca04876ce', oline='15', file_name='core/src/test/java/com/google/common/truth/CorrespondenceTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Pull Up Attribute,core/src/test/java/com/google/common/truth/GuavaOptionalSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='3cac1033de32bdfcaba6f7761d55121cd1f9e118', oline='14', file_name='core/src/test/java/com/google/common/truth/GuavaOptionalSubjectTest.java')]"
truth,2,"('5c895c31c1deb9d81127209e4261fdf688656812', '61dbafa847d505018670de5ab8781f36b5839be0')",Add Attribute Modifier,core/src/test/java/com/google/common/truth/GuavaOptionalSubjectTest.java@public expectFailure : ExpectFailure,core/src/test/java/com/google/common/truth/BaseSubjectTestCase.java@package expectFailure : ExpectFailure,"[BlameRes(sha1='3cac1033de32bdfcaba6f7761d55121cd1f9e118', oline='14', file_name='core/src/test/java/com/google/common/truth/GuavaOptionalSubjectTest.java')]"
