Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
xabber-android,2,"('b299c5bb1a84feefa776631e0b471558e33e943f', 'ca95682a595eb00e9638bac353be82ffd21e2c85')",Move And Rename Method,xabber/src/main/java/com/xabber/android/data/notification/MessageNotificationManager.java@private createGroupNotificationOldAPI(alert boolean) : void,"xabber/src/main/java/com/xabber/android/data/notification/NewMessageNotifCreator.java@public createBoundleNotification(alert boolean, messageCount int, chatCount int, lastMessage MessageNotificationManager.Message, lastChatIsGroup boolean, lastChat MessageNotificationManager.Chat, chats List<MessageNotificationManager.Chat>) : void","[BlameRes(sha1='7d019088282a79c1e83a0433093699a051503252', oline='343', file_name='xabber/src/main/java/com/xabber/android/data/notification/MessageNotificationManager.java')]"
xabber-android,2,"('9d167ef29c92ba93aae1a4d2f36b2bd1fde92736', '47ec3be50fe7254d41e11cd173fb873c1b6bf622')",Rename Method,xabber/src/main/java/com/xabber/android/data/notification/NotifManagerCompat.java@public getChatId() : int,xabber/src/main/java/com/xabber/android/data/notification/MessageNotificationManager.java@public getNotificationId() : int,"[BlameRes(sha1='9130e1129af38e7a2e3913272281ac747c33bb97', oline='325', file_name='xabber/src/main/java/com/xabber/android/data/notification/NotifManagerCompat.java')]"
xabber-android,2,"('9d167ef29c92ba93aae1a4d2f36b2bd1fde92736', '47ec3be50fe7254d41e11cd173fb873c1b6bf622')",Rename Parameter,xabber/src/main/java/com/xabber/android/data/notification/NotifManagerCompat.java@chatId : int,xabber/src/main/java/com/xabber/android/data/notification/MessageNotificationManager.java@accountJid : AccountJid,"[BlameRes(sha1='9130e1129af38e7a2e3913272281ac747c33bb97', oline='316', file_name='xabber/src/main/java/com/xabber/android/data/notification/NotifManagerCompat.java')]"
xabber-android,2,"('9d167ef29c92ba93aae1a4d2f36b2bd1fde92736', '47ec3be50fe7254d41e11cd173fb873c1b6bf622')",Rename Attribute,xabber/src/main/java/com/xabber/android/data/notification/NotifManagerCompat.java@chatId : int,xabber/src/main/java/com/xabber/android/data/notification/MessageNotificationManager.java@accountJid : AccountJid,"[BlameRes(sha1='9130e1129af38e7a2e3913272281ac747c33bb97', oline='312', file_name='xabber/src/main/java/com/xabber/android/data/notification/NotifManagerCompat.java')]"
xabber-android,2,"('9d167ef29c92ba93aae1a4d2f36b2bd1fde92736', '47ec3be50fe7254d41e11cd173fb873c1b6bf622')",Encapsulate Attribute,xabber/src/main/java/com/xabber/android/data/notification/NotifManagerCompat.java@private chatId : int,xabber/src/main/java/com/xabber/android/data/notification/MessageNotificationManager.java@private accountJid : AccountJid,"[BlameRes(sha1='9130e1129af38e7a2e3913272281ac747c33bb97', oline='312', file_name='xabber/src/main/java/com/xabber/android/data/notification/NotifManagerCompat.java')]"
xabber-android,2,"('9d167ef29c92ba93aae1a4d2f36b2bd1fde92736', '47ec3be50fe7254d41e11cd173fb873c1b6bf622')",Extract Variable,xabber/src/main/java/com/xabber/android/data/notification/NotifManagerCompat.java@,xabber/src/main/java/com/xabber/android/data/notification/MessageNotificationManager.java@chat : Chat,"[BlameRes(sha1='9130e1129af38e7a2e3913272281ac747c33bb97', oline='67', file_name='xabber/src/main/java/com/xabber/android/data/notification/NotifManagerCompat.java')]"
xabber-android,2,"('7d7081684881e3df0f110aaee65b68663c7f1a10', '183fc7753a2008bc726b92ba5a17b86bd9f93eda')",Rename Attribute,xabber/src/main/java/com/xabber/android/ui/adapter/chat/MessageVH.java@checkbox : CheckBox,xabber/src/main/java/com/xabber/android/ui/adapter/chat/MessageVH.java@tvFirstUnread : TextView,"[BlameRes(sha1='8455277aacea9e92b957fbaad1e1812783bf956e', oline='31', file_name='xabber/src/main/java/com/xabber/android/ui/adapter/chat/MessageVH.java')]"
xabber-android,2,"('7d7081684881e3df0f110aaee65b68663c7f1a10', '183fc7753a2008bc726b92ba5a17b86bd9f93eda')",Change Attribute Type,xabber/src/main/java/com/xabber/android/ui/adapter/chat/MessageVH.java@checkbox : CheckBox,xabber/src/main/java/com/xabber/android/ui/adapter/chat/MessageVH.java@tvFirstUnread : TextView,"[BlameRes(sha1='8455277aacea9e92b957fbaad1e1812783bf956e', oline='31', file_name='xabber/src/main/java/com/xabber/android/ui/adapter/chat/MessageVH.java')]"
xabber-android,2,"('8455277aacea9e92b957fbaad1e1812783bf956e', '23ddfde563d7301cf53af0555e2dc668ece9c77c')",Rename Attribute,xabber/src/main/java/com/xabber/android/ui/adapter/chat/MessageVH.java@listerner : MessageClickListener,xabber/src/main/java/com/xabber/android/ui/adapter/chat/MessageVH.java@listener : MessageClickListener,"[BlameRes(sha1='2cc4b251f567492e63738ca15d4c966596580f78', oline='21', file_name='xabber/src/main/java/com/xabber/android/ui/adapter/chat/MessageVH.java')]"
xabber-android,2,"('039d5588c2c5e43c08288f72661ee2d42675902e', '4b23b4309a1973e172d21c436b2033d3e6fb0130')",Move Class,xabber/src/main/java/com/xabber/android/ui/fragment/ChooseAccountForXMPPAuthDialog.java@com.xabber.android.ui.fragment.ChooseAccountForXMPPAuthDialog.Listener,xabber/src/main/java/com/xabber/android/ui/fragment/XAccountXMPPLoginFragment.java@com.xabber.android.ui.fragment.XAccountXMPPLoginFragment.Listener,"[BlameRes(sha1='d0b73cf88dabce72cc1ee8177b85e4400d2f397b', oline='25', file_name='xabber/src/main/java/com/xabber/android/ui/fragment/XAccountXMPPAuthFragment.java')]"
