Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Change Parameter Type,src/main/java/net/schmizz/sshj/xfer/LocalFile.java@filter : FileFilter,src/main/java/net/schmizz/sshj/xfer/LocalSourceFile.java@filter : LocalFileFilter,"[BlameRes(sha1='ce1ed1f671d6930a734edea72b0b33e0c54e7590', oline='20', file_name='src/main/java/net/schmizz/sshj/xfer/LocalFile.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Rename Class,src/main/java/net/schmizz/sshj/xfer/LocalFile.java@net.schmizz.sshj.xfer.LocalFile,src/main/java/net/schmizz/sshj/xfer/LocalSourceFile.java@net.schmizz.sshj.xfer.LocalSourceFile,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='6', file_name='src/main/java/net/schmizz/sshj/xfer/LocalFile.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Add Thrown Exception Type,src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java@public getLastAccessTime(f LocalFile) : long,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@IOException,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='30', file_name='src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Add Thrown Exception Type,src/main/java/net/schmizz/sshj/xfer/InMemoryFile.java@public lastModified() : long,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@IOException,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='61', file_name='src/main/java/net/schmizz/sshj/xfer/InMemoryFile.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Remove Parameter,src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java@f : LocalFile,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@public getLastAccessTime() : long,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='31', file_name='src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Move Method,src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java@public getLastAccessTime(f LocalFile) : long,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@public getLastAccessTime() : long,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='30', file_name='src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Move And Rename Method,src/main/java/net/schmizz/sshj/xfer/InMemoryFile.java@public lastModified() : long,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@public getLastAccessTime() : long,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='61', file_name='src/main/java/net/schmizz/sshj/xfer/InMemoryFile.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Add Thrown Exception Type,src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java@public getLastModifiedTime(f LocalFile) : long,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@IOException,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='35', file_name='src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Remove Parameter,src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java@f : LocalFile,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@public getLastModifiedTime() : long,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='36', file_name='src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Move Method,src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java@public getLastModifiedTime(f LocalFile) : long,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@public getLastModifiedTime() : long,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='35', file_name='src/main/java/net/schmizz/sshj/xfer/DefaultModeGetter.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Move Method,src/main/java/net/schmizz/sshj/xfer/InMemoryFile.java@public isDirectory() : boolean,src/main/java/net/schmizz/sshj/xfer/InMemorySourceFile.java@public isDirectory() : boolean,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='28', file_name='src/main/java/net/schmizz/sshj/xfer/InMemoryFile.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Rename Method,src/main/java/net/schmizz/sshj/xfer/LocalFile.java@public length() : long,src/main/java/net/schmizz/sshj/xfer/LocalSourceFile.java@public getLength() : long,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='12', file_name='src/main/java/net/schmizz/sshj/xfer/LocalFile.java')]",,
sshj,2,"('826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Rename Parameter,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@sourcePath : String,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@sourceFile : LocalFile,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='39', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,2,"('826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Change Parameter Type,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@sourcePath : String,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@sourceFile : LocalFile,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='39', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,2,"('826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Remove Method Annotation,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@@Override,"src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@private startCopy(sourceFile LocalFile, targetPath String) : void","[BlameRes(sha1='9907e481784e20d8344858c75c9c8dd81b56c2d7', oline='36', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,2,"('826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Change Method Access Modifier,"src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@protected startCopy(sourcePath String, targetPath String) : void","src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@private startCopy(sourceFile LocalFile, targetPath String) : void","[BlameRes(sha1='9907e481784e20d8344858c75c9c8dd81b56c2d7', oline='36', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,2,"('826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Change Parameter Type,src/main/java/net/schmizz/sshj/xfer/scp/SCPEngine.java@sourcePath : String,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@sourceFile : LocalFile,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='55', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPEngine.java')]",,
sshj,2,"('826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Rename Parameter,src/main/java/net/schmizz/sshj/xfer/scp/SCPEngine.java@sourcePath : String,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@sourceFile : LocalFile,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='55', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPEngine.java')]",,
sshj,2,"('826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Rename Parameter,src/main/java/net/schmizz/sshj/xfer/scp/SCPEngine.java@targetPath : String,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@remotePath : String,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='55', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPEngine.java')]",,
sshj,2,"('826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Add Method Modifier,"src/main/java/net/schmizz/sshj/xfer/scp/SCPEngine.java@public copy(sourcePath String, targetPath String) : int","src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@public copy(sourceFile LocalFile, remotePath String) : int","[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='55', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPEngine.java')]",,
sshj,2,"('826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Move Method,"src/main/java/net/schmizz/sshj/xfer/scp/SCPEngine.java@public copy(sourcePath String, targetPath String) : int","src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@public copy(sourceFile LocalFile, remotePath String) : int","[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='55', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPEngine.java')]",,
sshj,3,"('516d7ebda1b4f05a4168443870683ec1c2b05d32', 'bd4ce30b466b24f67acf67761b837869ec9b9e3f', '304ea45758c273d857265be4b2577b5eed6cf47b')",Extract Variable,src/test/java/net/schmizz/sshj/userauth/password/TestConsolePasswordFinder.java@,src/test/java/net/schmizz/sshj/userauth/password/TestConsolePasswordFinder.java@resource : Resource<?>,"[BlameRes(sha1='7496760d9e3e5efd509c1e09d98f5ba9307ea805', oline='12', file_name='src/test/java/net/schmizz/sshj/userauth/password/TestConsolePasswordFinder.java')]",,
sshj,3,"('5c6699dab0b445220966b0d4d677505098c02da5', 'ca8ec7c59c5f0391cfb6034702156794c7ad9788', 'ac656714686913570490adf769bc6417bd840127')",Rename Method,src/main/java/net/schmizz/sshj/transport/kex/DH.java@public getE() : BigInteger,src/main/java/net/schmizz/sshj/transport/kex/DH.java@public getP() : BigInteger,"[BlameRes(sha1='3c77bfb35b2460356e75e6235a242cd8eca096ab', oline='54', file_name='src/main/java/net/schmizz/sshj/transport/kex/DH.java')]",G,
sshj,3,"('5c6699dab0b445220966b0d4d677505098c02da5', 'ca8ec7c59c5f0391cfb6034702156794c7ad9788', 'ac656714686913570490adf769bc6417bd840127')",Extract Method,"src/main/java/net/schmizz/sshj/transport/kex/DH.java@public init(p BigInteger, g BigInteger) : void",src/main/java/net/schmizz/sshj/transport/kex/DH.java@public getG() : BigInteger,"[BlameRes(sha1='3c77bfb35b2460356e75e6235a242cd8eca096ab', oline='34', file_name='src/main/java/net/schmizz/sshj/transport/kex/DH.java')]",,
sshj,3,"('29a4478ee68fd4619c6d605264b12ec30e3c2551', '2864447c6953f8934850222b6341e6b26a0e2cd0', 'd94c64274252c6624577433b53ee6e0fc6e6c69f')",Rename Class,src/main/java/net/schmizz/sshj/signature/SignatureRSA.java@net.schmizz.sshj.signature.SignatureRSA.Factory,src/main/java/net/schmizz/sshj/signature/SignatureRSA.java@net.schmizz.sshj.signature.SignatureRSA.FactorySSHRSA,"[BlameRes(sha1='a33cefc4c66359e8172b711a5bd0ae032a2d558d', oline='11', file_name='src/main/java/net/schmizz/sshj/signature/SignatureRSA.java')]",,
sshj,3,"('8311f6386b4bd28201c0bc5694b8581e9d5c8163', '826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Change Parameter Type,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@f : File,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@f : LocalFile,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='64', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,3,"('8311f6386b4bd28201c0bc5694b8581e9d5c8163', '826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Change Variable Type,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@child : File,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@child : LocalFile,"[BlameRes(sha1='9907e481784e20d8344858c75c9c8dd81b56c2d7', oline='73', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,3,"('8311f6386b4bd28201c0bc5694b8581e9d5c8163', '826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Change Parameter Type,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@f : File,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@f : LocalFile,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='74', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,3,"('8311f6386b4bd28201c0bc5694b8581e9d5c8163', '826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Change Parameter Type,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@f : File,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@f : LocalFile,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='87', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,3,"('8311f6386b4bd28201c0bc5694b8581e9d5c8163', '826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Change Parameter Type,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@f : File,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@f : LocalFile,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='102', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,3,"('8311f6386b4bd28201c0bc5694b8581e9d5c8163', '826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Change Parameter Type,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@f : File,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@f : LocalFile,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='108', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,3,"('8311f6386b4bd28201c0bc5694b8581e9d5c8163', '826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Extract Class,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@net.schmizz.sshj.xfer.scp.SCPUploadClient,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@net.schmizz.sshj.xfer.scp.SCPUploadClient,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='16', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,3,"('8311f6386b4bd28201c0bc5694b8581e9d5c8163', '826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Move Method,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@public setFileFilter(fileFilter FileFilter) : void,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@public setFileFilter(fileFilter FileFilter) : void,"[BlameRes(sha1='9907e481784e20d8344858c75c9c8dd81b56c2d7', oline='32', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,3,"('8311f6386b4bd28201c0bc5694b8581e9d5c8163', '826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Move Attribute,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@private fileFilter : FileFilter,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@private fileFilter : FileFilter,"[BlameRes(sha1='9907e481784e20d8344858c75c9c8dd81b56c2d7', oline='20', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,3,"('8311f6386b4bd28201c0bc5694b8581e9d5c8163', '826e45ead1e628deca48c9012254931f81aeb5b6', '6765748f567454929d2a54d21501806050c9154d')",Rename Variable,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@files : File[],src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@childFiles : File[],"[BlameRes(sha1='9907e481784e20d8344858c75c9c8dd81b56c2d7', oline='44', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
