spring-data-rest,2,"('49de72882224cf5302d9fc0e5a78902aa635e6d6', 'ce9d73af2185e65b817a21e0dbdd946884163561')",Rename Attribute,spring-data-rest-webmvc/src/main/java/org/springframework/data/rest/webmvc/json/PersistentEntityJackson2Module.java@associationLinks : AssociationLinks,spring-data-rest-webmvc/src/main/java/org/springframework/data/rest/webmvc/json/PersistentEntityJackson2Module.java@associations : Associations,"[BlameRes(sha1='18d130d16e275ff954ca01617fc17a527dd01b7c', oline='125', file_name='spring-data-rest-webmvc/src/main/java/org/springframework/data/rest/webmvc/json/PersistentEntityJackson2Module.java')]",C,
spring-data-rest,3,"('e550b011eafb8506c14646cb9cc8a3ed49c5dfa5', 'f0c3f3f82e8a0200b8f2fa8118604ab10a7c0dc8', 'a6a68b25eb86caf7541bf5a0845495535df9e9ce')",Move And Rename Class,spring-data-rest-example/src/main/java/org/springframework/data/rest/example/jpa/Person.java@org.springframework.data.rest.example.jpa.Person,spring-data-rest-webmvc/src/test/java/org/springframework/data/rest/webmvc/cassandra/Employee.java@org.springframework.data.rest.webmvc.cassandra.Employee,"[BlameRes(sha1='37fc66489cf0e8ba829af71fe6ca259c96f118f7', oline='18', file_name='spring-data-rest-example/src/main/java/org/springframework/data/rest/example/jpa/Person.java')]",G,
spring-data-rest,3,"('e550b011eafb8506c14646cb9cc8a3ed49c5dfa5', 'f0c3f3f82e8a0200b8f2fa8118604ab10a7c0dc8', 'a6a68b25eb86caf7541bf5a0845495535df9e9ce')",Move Package,spring-data-rest-example/src/main/java/org/springframework/data/rest/example/jpa/Person.java@org.springframework.data.rest.example.jpa.Person,spring-data-rest-webmvc/src/test/java/org/springframework/data/rest/webmvc/cassandra/Employee.java@org.springframework.data.rest.webmvc.cassandra.Employee,"[BlameRes(sha1='37fc66489cf0e8ba829af71fe6ca259c96f118f7', oline='18', file_name='spring-data-rest-example/src/main/java/org/springframework/data/rest/example/jpa/Person.java')]",G,
spring-data-rest,4,"('7d5250ef8adb85447ea8440a905ee02cb9b3b23a', '8055c8f630c19c6243f20090ca11486388f60da4', '1c74b7cae9e0dea08aa403d76c1434fefdd71969', '877dad49e3d767b582f080ce250f59d70443c748')",Change Parameter Type,"spring-data-rest-repository/src/main/java/org/springframework/data/rest/repository/PersistentEntityResource.java@persistentEntity : PersistentEntity<T,?>","spring-data-rest-repository/src/main/java/org/springframework/data/rest/repository/PersistentEntityResource.java@entity : PersistentEntity<?,?>","[BlameRes(sha1='37fc66489cf0e8ba829af71fe6ca259c96f118f7', oline='28', file_name='spring-data-rest-repository/src/main/java/org/springframework/data/rest/repository/PersistentEntityResource.java')]",G,
spring-data-rest,5,"('dfcf60943148cdc126de0831b969aa9f9dd27faf', '2b3cfdd39ff1880360005b4aca73b22f10844fc7', '99b54c25569648a5bf32308ff4bfba0b9951d272', 'b5a389c7a339dc726f84b5a9ab2c67fcb9d99a98', '4223e389f642a920dd6baeaff7432b30a8190b69')",Rename Parameter,spring-data-rest-webmvc/src/main/java/org/springframework/data/rest/webmvc/RepositoryRestController.java@pathComponents : String...,spring-data-rest-webmvc/src/main/java/org/springframework/data/rest/webmvc/RepositoryRestController.java@pathSegments : String...,[],C,
sshj,2,"('ebe8332dce29538cceb4a2336bbb94817fb535dd', 'a1f1cd945c69e3b94d640d2414272f0435bd1f29')",Rename Parameter,src/main/java/net/schmizz/sshj/sftp/Requester.java@request : Request,src/main/java/net/schmizz/sshj/sftp/Requester.java@req : Request,"[BlameRes(sha1='ab6d176e2540e047f267a3b9c5a88058073b4e2e', oline='16', file_name='src/main/java/net/schmizz/sshj/sftp/Requester.java')]",G,
sshj,3,"('5c6699dab0b445220966b0d4d677505098c02da5', 'ca8ec7c59c5f0391cfb6034702156794c7ad9788', 'ac656714686913570490adf769bc6417bd840127')",Rename Method,src/main/java/net/schmizz/sshj/transport/kex/DH.java@public getE() : BigInteger,src/main/java/net/schmizz/sshj/transport/kex/DH.java@public getP() : BigInteger,"[BlameRes(sha1='3c77bfb35b2460356e75e6235a242cd8eca096ab', oline='54', file_name='src/main/java/net/schmizz/sshj/transport/kex/DH.java')]",G,
sshj,5,"('218a8664a500751e94ed7753afc71da387f5a497', 'd861753cd12d030aa9fbc4e0c932dd585ee41480', 'e851ffd393c6689451272b128ae9aa658b035c39', '03d94582ec729c05ba826ae176b63d35233b7b3c', '30f87cbee3c7fae9b484e547d2500086094d551d')",Extract Method,"src/main/java/net/schmizz/sshj/common/StreamCopier.java@public copy(in InputStream, out OutputStream, bufSize int, keepFlushing boolean, listener Listener) : long","src/main/java/net/schmizz/sshj/common/StreamCopier.java@private write(buf byte[], count long, read int) : long","[BlameRes(sha1='e6c8eac2ff589fdbee01a77c833e0b5bd1f3d692', oline='33', file_name='src/main/java/net/schmizz/sshj/common/StreamCopier.java')]",G,
helios,2,"('68fbec834d0f96b7133d7a3a475e95f04a1ccaea', '9746a9e0799165d5009468329981c95789a7fcab')",Add Attribute Modifier,helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloHealthchecksIT.java@public solo : HeliosDeploymentResource,helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloIT.java@public solo : HeliosDeploymentResource,"[BlameRes(sha1='8e1208f867dc59bbe714e65e3eadd03a594e2f9d', oline='17', file_name='helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloHealthchecksIT.java')]",C,
helios,3,"('9395f16b731d33bdfacaef64e0d8397c8f4f58eb', 'cede1cfa99adefde799865da9d55f1b3fad76525', '243c5dc3693032661eebde00e3b640e30bda9f5b')",Add Parameter,"helios-client/src/main/java/com/spotify/helios/client/AuthenticatingHttpConnector.java@private handleHttps(connection HttpURLConnection, hostname String, identity Identity) : void",helios-client/src/main/java/com/spotify/helios/client/DefaultHttpConnector.java@hostnameVerifierProvider : HostnameVerifierProvider,"[BlameRes(sha1='47367c54d4e603ee123fc7f8268832d3b350d25a', oline='122', file_name='helios-client/src/main/java/com/spotify/helios/client/AuthenticatingHttpConnector.java')]",G,
