Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
cascading,2,"('9dea7653d43c69ba6acc2bc102e9598515dde46b', '234870e08b8c4ea0f069b45ed7d92c888b80151b')",Rename Parameter,cascading-core/src/main/java/cascading/cascade/Cascade.java@flowListener : CascadeListener,cascading-core/src/main/java/cascading/cascade/Cascade.java@cascadeListener : CascadeListener,"[BlameRes(sha1='598d8531a01985e08195d4292b724792692f3f16', oline='159', file_name='cascading-core/src/main/java/cascading/cascade/Cascade.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Rename Attribute,cascading-core/src/main/java/cascading/flow/planner/graph/ElementMaskSubGraph.java@masked : Set<FlowElement>,cascading-core/src/main/java/cascading/flow/planner/graph/ElementMaskSubGraph.java@maskedElements : Set<FlowElement>,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='20', file_name='cascading-core/src/main/java/cascading/flow/planner/graph/ElementMaskSubGraph.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Rename Parameter,cascading-core/src/main/java/cascading/flow/planner/graph/ElementMaskSubGraph.java@flowElements : FlowElement...,cascading-core/src/main/java/cascading/flow/planner/graph/ElementMaskSubGraph.java@maskedFlowElements : FlowElement...,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='41', file_name='cascading-core/src/main/java/cascading/flow/planner/graph/ElementMaskSubGraph.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Rename Parameter,cascading-core/src/main/java/cascading/flow/planner/graph/ElementMaskSubGraph.java@flowElements : Collection<FlowElement>,cascading-core/src/main/java/cascading/flow/planner/graph/ElementMaskSubGraph.java@maskedFlowElements : Collection<FlowElement>,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='46', file_name='cascading-core/src/main/java/cascading/flow/planner/graph/ElementMaskSubGraph.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Variable Type,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/ExpressionSubGraphIterator.java@contractedMatchedGraph : ElementSubGraph,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/ExpressionSubGraphIterator.java@contractedMatchedGraph : ElementGraph,"[BlameRes(sha1='3b0ffd95978d4ca3a08d623d58b098bca580a898', oline='153', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/ExpressionSubGraphIterator.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Return Type,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/ExpressionSubGraphIterator.java@ElementSubGraph,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/ExpressionSubGraphIterator.java@ElementGraph,"[BlameRes(sha1='3b0ffd95978d4ca3a08d623d58b098bca580a898', oline='146', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/ExpressionSubGraphIterator.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Rename Attribute,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/ExpressionSubGraphIterator.java@flowElementGraph : ElementGraph,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/ExpressionSubGraphIterator.java@elementGraph : ElementGraph,"[BlameRes(sha1='3b0ffd95978d4ca3a08d623d58b098bca580a898', oline='29', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/ExpressionSubGraphIterator.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Attribute Type,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@current : ElementSubGraph,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@current : ElementGraph,"[BlameRes(sha1='84c1a68e1ef499bcaef20e72531055f21352101b', oline='20', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/ByEdgeSubGraphIterator.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Extract Variable,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@vertexList : List<FlowElement>,"[BlameRes(sha1='84c1a68e1ef499bcaef20e72531055f21352101b', oline='76', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/ByEdgeSubGraphIterator.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Extract Variable,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@edgeList : List<Scope>,"[BlameRes(sha1='84c1a68e1ef499bcaef20e72531055f21352101b', oline='76', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/ByEdgeSubGraphIterator.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Return Type,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@ElementSubGraph,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@ElementGraph,"[BlameRes(sha1='3b0ffd95978d4ca3a08d623d58b098bca580a898', oline='72', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Variable Type,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/partitioner/ExpressionGraphPartitioner.java@next : ElementSubGraph,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/partitioner/ExpressionGraphPartitioner.java@next : ElementGraph,"[BlameRes(sha1='84c1a68e1ef499bcaef20e72531055f21352101b', oline='73', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/ExpressionGraphPartitioner.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Variable Type,cascading-core/src/test/java/cascading/flow/iso/IsomorphismTest.java@next : ElementSubGraph,cascading-core/src/test/java/cascading/flow/iso/IsomorphismTest.java@next : ElementGraph,"[BlameRes(sha1='193f3836bd0b66dea3d6770a24dc10012e5908e3', oline='107', file_name='cascading-core/src/test/java/cascading/flow/iso/IsomorphismTest.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Variable Type,cascading-core/src/test/java/cascading/flow/iso/IsomorphismTest.java@next : ElementSubGraph,cascading-core/src/test/java/cascading/flow/iso/IsomorphismTest.java@next : ElementGraph,"[BlameRes(sha1='efb60093f78ed66edc8c0ddc0f9da509736cdea2', oline='178', file_name='cascading-core/src/test/java/cascading/flow/iso/IsomorphismTest.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Rename Parameter,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java@logicalOutput : LogicalOutput,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java@logicalOutputs : Collection<LogicalOutput>,"[BlameRes(sha1='750f19ae2342bd5feec5378d83bff1ee37e56f5f', oline='37', file_name='cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Parameter Type,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java@logicalOutput : LogicalOutput,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java@logicalOutputs : Collection<LogicalOutput>,"[BlameRes(sha1='750f19ae2342bd5feec5378d83bff1ee37e56f5f', oline='37', file_name='cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Rename Attribute,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java@logicalOutput : UnorderedKVOutput,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java@logicalOutputs : Collection<LogicalOutput>,"[BlameRes(sha1='750f19ae2342bd5feec5378d83bff1ee37e56f5f', oline='31', file_name='cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Attribute Type,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java@logicalOutput : UnorderedKVOutput,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java@logicalOutputs : Collection<LogicalOutput>,"[BlameRes(sha1='750f19ae2342bd5feec5378d83bff1ee37e56f5f', oline='31', file_name='cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezBoundaryStage.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Rename Parameter,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java@logicalOutput : LogicalOutput,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java@logicalOutputs : Collection<LogicalOutput>,"[BlameRes(sha1='750f19ae2342bd5feec5378d83bff1ee37e56f5f', oline='38', file_name='cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Parameter Type,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java@logicalOutput : LogicalOutput,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java@logicalOutputs : Collection<LogicalOutput>,"[BlameRes(sha1='750f19ae2342bd5feec5378d83bff1ee37e56f5f', oline='38', file_name='cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Rename Attribute,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java@logicalOutput : UnorderedKVOutput,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java@logicalOutputs : Collection<LogicalOutput>,"[BlameRes(sha1='750f19ae2342bd5feec5378d83bff1ee37e56f5f', oline='32', file_name='cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java')]",
cascading,2,"('bd1358e884953e93ebd700b73b1ed528424442f8', 'de3c417b495ba944f4f1270e053eea813eceac3c')",Change Attribute Type,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java@logicalOutput : UnorderedKVOutput,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java@logicalOutputs : Collection<LogicalOutput>,"[BlameRes(sha1='750f19ae2342bd5feec5378d83bff1ee37e56f5f', oline='32', file_name='cascading-hadoop2-tez/src/main/java/cascading/flow/tez/stream/element/TezMergeGate.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Rename Class,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@cascading.flow.planner.rule.RulePartitioner.Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@cascading.flow.planner.rule.RulePartitioner.PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='13', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Add Class Modifier,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/GraphPartitioner.java@cascading.flow.planner.iso.subgraph.GraphPartitioner,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/GraphPartitioner.java@cascading.flow.planner.iso.subgraph.GraphPartitioner,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='14', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/GraphPartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Split Parameter,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/Partitions.java@subGraphIterator : SubGraphIterator,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/Partitions.java@contractedGraph : ElementGraph,"[BlameRes(sha1='6e6010029e03d234b5e7b02af66b8ab71cd1a449', oline='28', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/Partitions.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Split Attribute,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/Partitions.java@subGraphIterator : SubGraphIterator,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/Partitions.java@contractedGraph : ElementGraph,"[BlameRes(sha1='efb60093f78ed66edc8c0ddc0f9da509736cdea2', oline='18', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/Partitions.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Replace Variable With Attribute,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/Partitions.java@matches : List<Match>,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/Partitions.java@contractedMatches : List<Match>,"[BlameRes(sha1='efb60093f78ed66edc8c0ddc0f9da509736cdea2', oline='77', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/Partitions.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Change Type Declaration Kind,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/SubGraphIterator.java@cascading.flow.planner.iso.subgraph.SubGraphIterator,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/SubGraphIterator.java@cascading.flow.planner.iso.subgraph.SubGraphIterator,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='25', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/SubGraphIterator.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Add Class Modifier,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@cascading.flow.planner.rule.RulePartitioner,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@cascading.flow.planner.rule.RulePartitioner,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='7', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Rename Method,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@public getPartition() : Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@public getPartitionSource() : PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='113', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Change Attribute Access Modifier,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@package phase : PlanPhase,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@protected phase : PlanPhase,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='9', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Change Parameter Type,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@partition : Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@partitionSource : PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='76', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Rename Parameter,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@partition : Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@partitionSource : PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='76', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Split Parameter,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@partition : Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@partitionSource : PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='76', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Remove Parameter,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@contractionGraph : ExpressionGraph,"cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@public RulePartitioner(phase PlanPhase, partitionSource PartitionSource, graphPartitioner GraphPartitioner)","[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='76', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Remove Parameter,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@expressionGraph : ExpressionGraph,"cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@public RulePartitioner(phase PlanPhase, partitionSource PartitionSource, graphPartitioner GraphPartitioner)","[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='76', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Remove Parameter,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@annotations : ElementAnnotation...,"cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@public RulePartitioner(phase PlanPhase, partitionSource PartitionSource, graphPartitioner GraphPartitioner)","[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='76', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Change Method Access Modifier,"cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@protected RulePartitioner(phase PlanPhase, partition Partition, contractionGraph ExpressionGraph, expressionGraph ExpressionGraph, annotations ElementAnnotation...)","cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@public RulePartitioner(phase PlanPhase, partitionSource PartitionSource, graphPartitioner GraphPartitioner)","[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='76', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Change Return Type,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='113', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Split Attribute,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@partition : Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@partitionSource : PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='20', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Change Variable Type,cascading-core/src/test/java/cascading/flow/iso/IsomorphismTest.java@iterator : SubGraphIterator,cascading-core/src/test/java/cascading/flow/iso/IsomorphismTest.java@iterator : ExpressionSubGraphIterator,"[BlameRes(sha1='efb60093f78ed66edc8c0ddc0f9da509736cdea2', oline='165', file_name='cascading-core/src/test/java/cascading/flow/iso/IsomorphismTest.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Rename Attribute,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@SplitCurrent : Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@PartitionCurrent : PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='16', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Change Attribute Type,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@SplitCurrent : Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@PartitionCurrent : PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='16', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Rename Attribute,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@SplitParent : Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@PartitionParent : PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='15', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Change Attribute Type,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@SplitParent : Partition,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@PartitionParent : PartitionSource,"[BlameRes(sha1='772b5fa5b983f45a5c1459625f3c091aae2ff092', oline='15', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Extract Superclass,cascading-hadoop/src/main/shared/cascading/flow/hadoop/planner/rule/partitioner/ConsecutiveTapsNodePartitioner.java@cascading.flow.hadoop.planner.rule.partitioner.ConsecutiveTapsNodePartitioner,cascading-hadoop/src/main/shared/cascading/flow/hadoop/planner/rule/partitioner/ConsecutiveTapsNodePartitioner.java@cascading.flow.hadoop.planner.rule.partitioner.ConsecutiveTapsNodePartitioner,"[BlameRes(sha1='193f3836bd0b66dea3d6770a24dc10012e5908e3', oline='9', file_name='cascading-hadoop/src/main/shared/cascading/flow/hadoop/planner/rule/partitioner/ConsecutiveTapsNodePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Extract Superclass,cascading-core/src/main/java/cascading/flow/planner/rule/partitioner/WholeGraphNodePartitioner.java@cascading.flow.planner.rule.partitioner.WholeGraphNodePartitioner,cascading-core/src/main/java/cascading/flow/planner/rule/partitioner/WholeGraphNodePartitioner.java@cascading.flow.planner.rule.partitioner.WholeGraphNodePartitioner,"[BlameRes(sha1='193f3836bd0b66dea3d6770a24dc10012e5908e3', oline='8', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/partitioner/WholeGraphNodePartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Extract Subclass,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/SubGraphIterator.java@cascading.flow.planner.iso.subgraph.SubGraphIterator,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/SubGraphIterator.java@cascading.flow.planner.iso.subgraph.SubGraphIterator,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='25', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/SubGraphIterator.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Extract Subclass,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/GraphPartitioner.java@cascading.flow.planner.iso.subgraph.GraphPartitioner,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/GraphPartitioner.java@cascading.flow.planner.iso.subgraph.GraphPartitioner,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='14', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/GraphPartitioner.java')]",
cascading,2,"('3b0ffd95978d4ca3a08d623d58b098bca580a898', '84c1a68e1ef499bcaef20e72531055f21352101b')",Extract Subclass,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@cascading.flow.planner.rule.RulePartitioner,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@cascading.flow.planner.rule.RulePartitioner,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='7', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
